location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Intent>Electronics>Video Game Consoles,320x50,Sign up Now - 10% Off,Illinois,reuters.com,Taboola,Smartphone,16791,40,11402,14231,3,1522.512272
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Sports>Team Sports>Baseball,320x50,Sign up Now - 10% Off,New York,rollingstone.com,Smart RTB+ (Smartadserver),Smartphone,19334,40,8673,18578,11,7292.135059
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Beauty and Fitness>Fitness>Gyms and Health Clubs,320x50,Sign up Today - 10% Off,New York,rollingstone.com,Google Ad Manager,Smartphone,25835,69,3753,20808,11,5751.912297
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Hobbies and Interest>Sports>Plays Tennis,300x250,Sign up Now - 10% Off,New York,rollingstone.com,Google Ad Manager,Windows PC,33650,100,15621,32539,9,3844.991165
"Tri-Cities, Tennessee-Virginia",Tri-Cities,Tennessee,Tri-Cities,"Lotame>Style, Fashion & Clothing",320x50,Subscribe Today - 10% Discount,Tennessee-Virginia,rvtrader.com,Google Ad Manager,Smartphone,13168,84,8527,12625,4,1639.72335
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Intent>Travel>Graduation Trip,300x250,Subscribe Today - 10% Discount,Illinois,sallysbakingaddiction.com,Google Ad Manager,Windows PC,26415,60,13791,25315,11,6450.918637
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Lotame>Online Shoppers>Online Shoppers,300x250,Sign up Today - 10% Off,Michigan,sciencealert.com,BidSwitch,Smartphone,13347,80,8357,11461,10,1543.66142
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Young Adult Clothing Shoppers,320x50,Sign up Now - 10% Off,New York,sciencesensei.com,OpenX,Smartphone,20885,99,9901,16266,15,2496.785436
"Chicago, Illinois",Chicago,Illinois,Chicago,Purchase-Based,300x250,10% Discount - Ends 6/1,Illinois,scitechdaily.com,Index Exchange,Smartphone,11289,97,1345,8187,3,1665.160445
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,US>Reach>Propensity Models>Online>Electronics and Gadgets,300x250,Sign up Now - 10% Off,Florida,screenrant.com,Magnite DV+,Smartphone,10389,55,8161,9951,2,2582.493847
